StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236068232\ProjectBase\Coin.java,"class、interfaceまたはenumがありません",,,,,,,,,1386236068232,1386236072256,0:00:00,true,7,5,0,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236068232\ProjectBase\Coin.java,"class、interfaceまたはenumがありません",,,,,,,,,1386236068232,1386236072256,0:00:00,true,7,5,0,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236068232\ProjectBase\Coin.java,"class、interfaceまたはenumがありません",,,,,,,,,1386236068232,1386236072256,0:00:00,true,7,5,0,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236068232\ProjectBase\Coin.java,"class、interfaceまたはenumがありません",,,,,,,,,1386236068232,1386236072256,0:00:00,true,7,5,0,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236165506\ProjectBase\Coin.java,"シンボルを見つけられません","c",変数,,,,,,,1386236165506,1386236245206,0:01:19,true,1,1,79,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236245206\ProjectBase\Coin.java,"'.class'がありません",,,,,,,,,1386236245206,1386236273137,0:00:06,true,4,4,6,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236245206\ProjectBase\Coin.java,"文ではありません",,,,,,,,,1386236245206,1386236273137,0:00:06,true,4,4,6,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236245206\ProjectBase\Coin.java,"式の開始が不正です",,,,,,,,,1386236245206,1386236273137,0:00:06,true,4,4,6,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236245206\ProjectBase\Coin.java,"';'がありません",,,,,,,,,1386236245206,1386236273137,0:00:06,true,4,4,6,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236273137\ProjectBase\Coin.java,"return文が指定されていません",,,,,,,,,1386236273137,1386236284424,0:00:11,true,1,1,11,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236284424\ProjectBase\Coin.java,"';'がありません",,,,,,,,,1386236284424,1386236362367,0:00:38,true,2,2,38,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236284424\ProjectBase\Coin.java,"構文解析中にファイルの終わりに移りました",,,,,,,,,1386236284424,1386236362367,0:00:38,true,2,2,38,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236415798\ProjectBase\Coin.java,"シンボルを見つけられません","simlate(int)",メソッド,,,,,,,1386236415798,1386236421253,0:00:05,true,1,1,5,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205778876\ProjectBase\ConsumptionTax.java,"シンボルを見つけられません","y",変数,,,,,,,1386205778876,1386205842299,0:00:15,true,4,4,15,false
