StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236068232\ProjectBase\Coin.java,class、interfaceまたはenumがありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:00,TRUE,7,5,0,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236068232\ProjectBase\Coin.java,class、interfaceまたはenumがありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:00,TRUE,7,5,0,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236068232\ProjectBase\Coin.java,class、interfaceまたはenumがありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:00,TRUE,7,5,0,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236068232\ProjectBase\Coin.java,class、interfaceまたはenumがありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:00,TRUE,7,5,0,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236068232\ProjectBase\Coin.java,class、interfaceまたはenumがありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:00,TRUE,7,5,0,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236165506\ProjectBase\Coin.java,シンボルを見つけられません,c,変数,,,,,,,1.38624E+12,1.38624E+12,0:01:19,TRUE,1,1,79,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236245206\ProjectBase\Coin.java,'.class'がありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:06,TRUE,4,4,6,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236245206\ProjectBase\Coin.java,文ではありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:06,TRUE,4,4,6,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236245206\ProjectBase\Coin.java,式の開始が不正です,,,,,,,,,1.38624E+12,1.38624E+12,0:00:06,TRUE,4,4,6,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236245206\ProjectBase\Coin.java,';'がありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:06,TRUE,4,4,6,FALSE
